Logging start...
GPS time;GPS FIX;GPS lat;GPS lon;GPS alt (m);Ext T1 (°C); Ext T2 (°C);Pressure (mBar);Humidity (%);Internal Temp (°C);Vsupply (V);+5V;+3.3V;Current (mA);Acc X (m/s^2);Acc Y (m/s^2);Acc Z (m/s^2);HADARP counter (cpm)
00:00:04;NOFIX;00.000000;000.000000;0;27.5;25.7;993;61;29.0;6.73;4.96;3.32;144;-0.08;-0.08;9.58;0
00:00:07;NOFIX;00.000000;000.000000;0;27.4;25.7;994;61;29.0;6.67;4.96;3.32;153;-0.08;-0.15;9.58;0
00:00:10;NOFIX;00.000000;000.000000;0;27.4;25.7;994;61;29.0;6.62;4.96;3.32;153;-0.15;-0.08;9.58;0
00:00:13;NOFIX;00.000000;000.000000;0;27.4;25.7;994;61;29.0;6.58;4.96;3.32;153;-0.08;-0.08;9.58;12
00:00:16;NOFIX;00.000000;000.000000;0;27.4;25.6;994;61;29.0;6.55;4.96;3.32;153;-0.08;-0.08;9.58;12
00:00:19;NOFIX;00.000000;000.000000;0;27.4;25.6;993;61;29.0;6.52;4.96;3.32;153;0.00;-0.08;9.58;12
00:00:22;NOFIX;00.000000;000.000000;0;27.4;25.6;993;61;29.0;6.50;4.96;3.32;153;-0.08;-0.08;9.58;24
00:00:25;NOFIX;00.000000;000.000000;0;27.5;25.6;993;61;29.0;6.46;4.96;3.32;153;-0.08;-0.15;9.58;24
00:00:28;NOFIX;00.000000;000.000000;0;27.5;25.6;993;61;29.0;6.42;4.96;3.32;153;-0.08;-0.08;9.58;24
00:00:31;NOFIX;00.000000;000.000000;0;27.5;25.6;993;61;29.0;6.41;4.96;3.32;153;-0.15;-0.08;9.58;24
00:00:34;NOFIX;00.000000;000.000000;0;27.5;25.7;994;61;29.0;6.38;4.96;3.32;153;-0.15;-0.08;9.58;30
00:00:37;NOFIX;00.000000;000.000000;0;27.5;25.7;993;61;29.5;6.37;4.96;3.32;145;-0.15;-0.08;9.58;30
00:00:40;NOFIX;00.000000;000.000000;0;27.5;25.7;993;61;29.5;6.36;4.95;3.32;145;-0.23;-0.08;9.58;30
00:00:43;NOFIX;00.000000;000.000000;0;27.5;25.7;993;61;29.5;6.34;4.95;3.32;145;-0.15;0.00;9.58;18
