Logging start...
GPS time;GPS FIX;GPS lat;GPS lon;GPS alt;int Temp;ext Temp;Press;Vsupply
09:03:38;FIX;43.606463;011.311823;228;37.8;30.3;968;9.04
09:03:41;FIX;43.606462;011.311832;229;37.9;30.5;967;9.05
09:03:44;FIX;43.606467;011.311837;229;37.9;30.9;967;9.05
09:03:47;FIX;43.606462;011.311838;229;37.9;31.1;967;9.06
09:03:50;FIX;43.606450;011.311833;230;37.9;31.3;967;9.05
09:03:53;FIX;43.606443;011.311830;230;37.9;31.9;967;9.06
09:03:56;FIX;43.606440;011.311832;231;37.9;32.3;967;9.06
09:03:59;FIX;43.606437;011.311832;231;37.9;31.3;965;9.05
09:04:02;FIX;43.606433;011.311827;232;37.9;30.7;967;9.06
09:04:05;FIX;43.606430;011.311827;233;37.9;30.8;967;9.06
09:04:08;FIX;43.606428;011.311825;234;37.9;30.9;967;9.06
09:04:11;FIX;43.606432;011.311822;234;38.0;31.3;967;9.06
09:04:14;FIX;43.606432;011.311818;234;38.0;31.6;967;9.05
09:04:17;FIX;43.606430;011.311818;234;38.0;31.4;967;9.06
09:04:21;FIX;43.606432;011.311825;233;38.0;31.6;967;9.06
09:04:24;FIX;43.606437;011.311827;234;38.0;31.4;967;9.06
09:04:27;FIX;43.606438;011.311832;234;38.0;31.3;967;9.06
09:04:30;FIX;43.606437;011.311830;235;38.0;30.9;967;9.06
09:04:33;FIX;43.606432;011.311830;235;38.0;30.9;967;9.06
09:04:36;FIX;43.606432;011.311835;235;38.0;30.7;967;9.06
09:04:39;FIX;43.606428;011.311840;236;38.0;30.7;967;9.05
09:04:42;FIX;43.606423;011.311833;236;38.0;30.7;967;9.05
09:04:45;FIX;43.606420;011.311832;237;38.0;30.5;967;9.07
09:04:48;FIX;43.606418;011.311835;237;38.2;30.3;967;9.06
09:04:51;FIX;43.606408;011.311833;238;38.0;30.8;967;9.06
09:04:54;FIX;43.606407;011.311827;239;38.2;31.4;967;9.07
09:04:57;FIX;43.606405;011.311820;239;38.2;31.3;967;9.06
09:05:00;FIX;43.606408;011.311815;239;38.2;31.4;967;9.07
09:05:03;FIX;43.606412;011.311810;239;38.2;31.5;967;9.06
09:05:06;FIX;43.606413;011.311815;238;38.2;31.7;967;9.07
09:05:09;FIX;43.606415;011.311817;238;38.2;31.4;967;9.07
09:05:12;FIX;43.606415;011.311817;238;38.2;31.2;967;9.06
09:05:15;FIX;43.606413;011.311813;238;38.2;31.3;967;9.07
09:05:18;FIX;43.606408;011.311818;238;38.2;32.2;967;9.07
09:05:21;FIX;43.606407;011.311825;238;38.2;32.4;967;9.07
09:05:24;FIX;43.606410;011.311832;239;38.3;32.3;967;9.08
09:05:27;FIX;43.606422;011.311837;239;38.3;32.1;967;9.07
09:05:30;FIX;43.606413;011.311838;240;38.3;32.8;967;9.07
09:05:33;FIX;43.606417;011.311852;240;38.3;33.1;967;9.07
09:05:36;FIX;43.606420;011.311845;240;38.3;33.8;967;9.08
09:05:39;FIX;43.606427;011.311850;240;38.3;34.2;967;9.07
09:05:42;FIX;43.606422;011.311848;240;38.3;34.5;967;9.07
09:05:45;FIX;43.606420;011.311842;240;38.3;33.4;967;9.07
09:05:48;FIX;43.606418;011.311842;240;38.3;32.3;967;9.07
09:05:51;FIX;43.606420;011.311838;240;38.4;32.0;967;9.08
09:05:54;FIX;43.606420;011.311837;240;38.4;32.0;968;9.07
09:05:57;FIX;43.606418;011.311837;240;38.3;31.4;967;9.07
