Logging start...
GPS time;GPS FIX;GPS lat;GPS lon;GPS alt (m);Ext T1 (°C); Ext T2 (°C);Pressure (mBar);Humidity (%);Internal Temp (°C);Vsupply (V);+5V;+3.3V;Current (mA);Acc X (m/s^2);Acc Y (m/s^2);Acc Z (m/s^2);HADARP counter (cpm)
11:25:34;FIX;43.606505;011.311897;242;27.4;30.7;992;28;44.0;6.02;4.95;3.32;162;-0.31;-1.99;9.35;12
11:25:37;FIX;43.606503;011.311887;242;27.2;30.9;993;28;44.0;6.03;4.94;3.32;155;-0.31;-1.99;9.35;12
11:25:40;FIX;43.606503;011.311885;242;27.4;30.3;990;29;44.0;6.04;4.95;3.32;157;-0.15;-2.15;9.20;12
11:25:43;FIX;43.606503;011.311885;241;27.9;30.6;990;31;44.0;6.04;4.95;3.32;155;0.00;-1.84;9.35;12
11:25:46;FIX;43.606505;011.311883;241;28.1;30.6;990;31;44.0;6.04;4.95;3.32;155;-0.61;-2.30;9.20;30
11:25:49;FIX;43.606507;011.311888;241;27.7;30.0;990;30;44.0;6.03;4.95;3.32;155;-0.61;-2.45;9.35;30
11:25:52;FIX;43.606505;011.311888;241;28.4;30.4;990;30;44.0;6.03;4.94;3.32;160;-0.77;-2.91;9.35;30
11:25:55;FIX;43.606507;011.311887;241;28.5;30.7;990;29;44.0;6.02;4.94;3.32;166;-0.61;-2.45;9.20;30
11:25:58;FIX;43.606502;011.311883;240;28.7;30.9;990;29;44.0;6.00;4.94;3.32;168;-0.61;-2.45;9.35;30
11:26:02;FIX;43.606503;011.311873;240;29.4;31.3;990;29;44.0;6.00;4.94;3.32;169;-0.92;-4.45;7.97;30
11:26:05;FIX;43.606503;011.311870;239;30.1;31.3;990;29;44.0;6.02;4.94;3.32;164;-0.61;-2.45;9.35;18
11:26:08;FIX;43.606503;011.311868;239;30.0;31.5;990;30;44.0;6.04;4.95;3.32;157;-0.61;-2.45;9.35;18
11:26:11;FIX;43.606507;011.311872;238;30.1;31.5;994;29;44.0;6.03;4.95;3.32;157;-0.61;-2.45;9.50;18
11:26:14;FIX;43.606512;011.311867;238;30.7;31.5;990;29;44.0;6.03;4.95;3.32;157;-1.07;-2.91;9.20;30
11:26:17;FIX;43.606513;011.311865;238;31.0;31.5;990;29;44.0;6.04;4.95;3.32;153;-0.61;-2.45;9.20;30
11:26:20;FIX;43.606515;011.311868;238;30.9;31.6;990;28;44.0;6.03;4.95;3.32;155;-0.61;-2.45;8.89;30
11:26:23;FIX;43.606515;011.311868;237;31.0;31.9;990;28;44.0;6.03;4.95;3.32;155;-0.61;-2.45;9.04;30
11:26:26;FIX;43.606515;011.311870;238;31.5;31.9;990;28;44.0;6.03;4.95;3.32;160;-0.61;-2.61;9.20;18
11:26:29;FIX;43.606518;011.311872;237;31.0;31.8;990;28;44.0;6.03;4.95;3.32;155;-0.46;-2.91;9.81;18
11:26:32;FIX;43.606520;011.311880;238;30.0;31.0;989;26;44.0;6.04;4.95;3.32;155;-0.46;-2.45;9.35;18
11:26:35;FIX;43.606568;011.312043;244;29.3;30.3;988;24;44.0;6.03;4.95;3.32;155;-0.61;-2.76;9.50;18
11:26:38;FIX;43.606628;011.312163;255;29.1;30.1;987;25;44.0;6.04;4.95;3.32;155;-0.46;-1.99;7.66;18
11:26:41;FIX;43.606678;011.312315;266;28.4;30.3;986;25;44.0;6.04;4.95;3.32;155;-0.92;-2.61;10.58;18
11:26:44;FIX;43.606755;011.312395;279;27.8;29.6;985;25;44.0;6.03;4.95;3.32;157;-0.15;-2.45;9.66;24
11:26:47;FIX;43.606797;011.312527;291;28.1;29.4;984;25;44.0;6.04;4.95;3.32;149;-1.07;-3.22;11.04;24
11:26:50;FIX;43.606865;011.312633;303;28.1;29.4;983;26;44.0;6.04;4.95;3.32;155;-0.61;-3.07;9.81;24
11:26:53;FIX;43.606897;011.312772;314;27.4;29.3;981;27;44.0;6.03;4.94;3.32;162;-0.31;-2.45;8.89;24
11:26:57;FIX;43.606922;011.312975;334;26.9;29.1;981;27;44.0;6.04;4.95;3.32;157;-0.92;-2.61;9.20;12
11:27:00;FIX;43.607020;011.313078;349;27.4;29.3;978;28;44.0;6.02;4.94;3.32;166;-0.77;-2.45;8.58;12
11:27:03;FIX;43.607002;011.313198;366;27.1;29.0;978;28;44.0;6.03;4.95;3.32;158;-0.77;-2.91;9.35;12
11:27:06;FIX;43.607072;011.313240;382;26.9;28.8;974;29;44.0;6.03;4.95;3.32;157;-0.92;-3.53;11.04;0
11:27:09;FIX;43.607067;011.313290;398;26.6;29.0;973;30;44.0;6.03;4.95;3.32;157;-0.77;-3.37;10.27;0
11:27:12;FIX;43.607143;011.313290;414;26.2;28.8;972;30;44.0;6.03;4.95;3.32;155;-0.92;-3.22;10.12;0
11:27:15;FIX;43.607195;011.313347;431;26.0;28.7;970;30;44.0;6.04;4.95;3.32;155;-0.46;-3.07;9.66;12
11:27:18;FIX;43.607218;011.313390;447;25.7;28.4;968;31;44.0;6.04;4.95;3.32;155;-0.31;-2.45;8.58;12
11:27:21;FIX;43.607268;011.313413;464;25.9;28.7;966;31;44.0;6.04;4.95;3.32;153;-0.77;-2.91;9.50;12
11:27:24;FIX;43.607242;011.313482;480;26.0;28.4;965;32;44.0;6.04;4.95;3.32;155;-0.92;-2.30;7.97;12
11:27:27;FIX;43.607300;011.313577;492;25.7;28.5;964;32;44.0;6.06;4.95;3.32;145;-0.61;-3.68;11.19;6
11:27:30;FIX;43.607275;011.313672;503;25.6;28.1;961;32;44.0;6.04;4.95;3.32;155;-1.07;-2.91;10.27;6
11:27:33;FIX;43.607337;011.313812;514;25.2;28.1;961;32;44.0;6.04;4.95;3.32;155;-0.15;-3.53;11.04;6
11:27:36;FIX;43.607343;011.313892;523;24.1;27.7;960;33;44.0;6.04;4.95;3.32;153;-0.15;-2.76;9.81;6
11:27:39;FIX;43.607370;011.314020;533;24.9;27.8;958;33;44.0;6.04;4.95;3.32;155;-0.77;-2.91;9.20;6
11:27:42;FIX;43.607432;011.314095;543;24.1;27.5;957;33;44.0;6.04;4.95;3.32;153;-0.31;-2.61;9.04;6
11:27:45;FIX;43.607422;011.314213;555;24.4;27.8;955;33;44.0;6.04;4.95;3.32;155;-0.77;-3.37;10.58;24
11:27:48;FIX;43.607480;011.314343;566;24.3;27.7;955;34;43.5;6.04;4.95;3.32;155;-0.61;-2.91;9.04;24
11:27:51;FIX;43.607455;011.314423;574;24.4;27.8;955;34;43.5;6.04;4.95;3.32;155;-0.77;-3.07;10.42;24
11:27:55;FIX;43.607467;011.314627;586;24.3;27.7;953;34;43.5;6.04;4.95;3.32;155;-0.46;-3.07;9.96;0
11:27:58;FIX;43.607502;011.314777;594;24.1;27.8;953;35;43.5;6.04;4.95;3.32;157;-0.46;-2.91;9.35;0
11:28:01;FIX;43.607515;011.314893;602;23.8;27.5;951;35;43.5;6.02;4.94;3.32;164;-0.77;-2.61;9.96;0
11:28:04;FIX;43.607565;011.315003;609;23.8;27.4;951;35;43.5;6.02;4.94;3.32;166;-0.61;-2.76;9.04;0
11:28:07;FIX;43.607542;011.315068;617;23.5;27.4;950;35;43.5;6.04;4.95;3.32;153;-0.61;-2.91;9.66;6
11:28:10;FIX;43.607570;011.315215;627;24.0;27.7;949;35;43.5;6.02;4.94;3.32;164;-0.77;-3.22;10.58;6
11:28:13;FIX;43.607598;011.315273;635;23.5;27.5;946;36;43.5;6.04;4.95;3.32;157;-0.46;-3.22;9.96;6
11:28:16;FIX;43.607622;011.315382;646;23.7;27.4;945;36;43.5;6.04;4.95;3.32;155;-0.77;-2.91;10.12;18
11:28:19;FIX;43.607670;011.315460;655;23.7;27.4;944;36;43.5;6.04;4.95;3.32;153;-0.61;-3.07;9.81;18
11:28:22;FIX;43.607668;011.315567;665;23.4;27.2;943;36;43.5;6.04;4.95;3.32;153;-0.61;-2.76;9.35;18
11:28:25;FIX;43.607723;011.315682;674;23.8;27.1;942;36;43.5;6.04;4.95;3.32;153;-0.61;-2.91;9.04;0
11:28:28;FIX;43.607718;011.315772;683;23.2;27.1;942;36;43.5;6.04;4.95;3.32;155;-0.31;-2.61;8.58;0
11:28:31;FIX;43.607800;011.315910;691;23.1;26.9;941;37;43.5;6.04;4.95;3.32;155;-0.92;-2.76;10.12;0
11:28:34;FIX;43.607808;011.315933;697;23.1;26.8;941;37;43.5;6.04;4.95;3.32;155;-0.61;-3.22;9.96;0
11:28:37;FIX;43.607848;011.316078;706;22.7;26.3;940;37;43.5;6.04;4.95;3.32;153;-0.15;-2.91;9.66;6
11:28:40;FIX;43.607910;011.316093;715;22.9;26.6;940;37;43.5;6.04;4.95;3.32;153;-0.92;-3.22;10.27;6
11:28:43;FIX;43.607932;011.316170;723;23.2;26.6;938;37;43.5;6.04;4.95;3.32;153;-0.61;-3.37;10.27;6
11:28:46;FIX;43.608023;011.316202;729;22.4;26.0;938;37;43.5;6.04;4.95;3.32;153;-0.31;-3.22;10.42;6
11:28:49;FIX;43.608022;011.316270;736;22.8;26.3;938;38;43.5;6.04;4.95;3.32;153;-0.77;-3.07;10.27;6
11:28:52;FIX;43.608105;011.316398;741;22.8;26.5;937;38;43.5;6.04;4.95;3.32;153;-0.61;-2.91;9.35;6
11:28:55;FIX;43.608147;011.316433;748;22.4;26.3;936;38;43.5;6.04;4.95;3.32;153;-0.61;-2.45;8.89;6
11:28:59;FIX;43.608175;011.316513;760;22.7;26.2;934;38;43.5;6.04;4.95;3.32;153;-0.92;-2.76;9.50;6
11:29:02;FIX;43.608235;011.316562;768;22.1;26.2;933;38;43.5;6.04;4.95;3.32;153;-0.31;-3.07;9.35;6
11:29:05;FIX;43.608225;011.316620;777;22.2;25.7;933;38;43.0;6.04;4.95;3.32;153;-0.77;-3.37;10.58;6
11:29:08;FIX;43.608273;011.316710;785;22.4;25.9;931;38;43.0;6.04;4.95;3.32;157;-0.61;-3.53;9.50;18
11:29:11;FIX;43.608303;011.316697;792;21.9;26.0;933;39;43.0;6.03;4.95;3.32;162;-0.46;-3.37;10.27;18
11:29:14;FIX;43.608320;011.316743;800;22.1;25.6;935;39;43.0;6.02;4.94;3.32;166;-0.77;-2.61;9.20;18
11:29:17;FIX;43.608393;011.316708;806;21.8;25.3;931;39;43.0;6.02;4.94;3.32;166;-0.15;-2.61;8.89;0
11:29:20;FIX;43.608403;011.316762;814;21.5;25.3;928;39;43.0;6.02;4.94;3.32;166;-0.61;-2.76;8.89;0
11:29:23;FIX;43.608508;011.316760;822;21.9;25.4;927;39;43.0;6.03;4.95;3.32;160;-0.61;-3.22;9.81;0
11:29:26;FIX;43.608555;011.316770;830;22.1;25.7;927;39;43.0;6.04;4.95;3.32;157;-0.61;-3.37;10.27;12
